min_len: 60; max_len: 101; avg_len: 100.05; 38 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
ALL	2394306	25.8	24.5	25.0	24.7	0.0	37.2	30.6	0.5	99.5
1	23931	25.8	33.2	27.5	13.5	0.0	33.5	31.0	0.4	99.6
2	23931	27.3	18.7	24.8	29.3	0.0	33.6	32.0	0.4	99.6
3	23931	25.1	23.4	22.2	29.3	0.0	33.7	31.8	0.3	99.7
4	23931	26.1	24.5	23.0	26.4	0.0	36.8	34.7	0.3	99.7
5	23931	27.2	22.4	25.9	24.5	0.0	36.8	34.6	0.3	99.7
6	23931	27.4	24.4	23.3	24.9	0.0	36.8	34.9	0.2	99.8
7	23931	26.6	22.7	26.0	24.7	0.0	36.8	34.9	0.2	99.8
8	23931	26.1	25.1	22.4	26.4	0.0	36.8	35.0	0.2	99.8
9	23931	24.9	24.8	23.3	27.0	0.0	38.6	35.7	0.2	99.8
10	23931	25.4	24.8	24.5	25.3	0.0	38.6	36.5	0.2	99.8
11	23931	25.5	24.0	24.7	25.7	0.0	38.6	36.0	0.2	99.8
12	23931	25.9	24.3	24.3	25.4	0.0	38.6	36.4	0.2	99.8
13	23931	25.7	24.4	25.4	24.5	0.0	38.6	35.5	0.2	99.8
14	23931	26.4	24.0	24.3	25.3	0.0	40.2	36.2	0.2	99.8
15	23931	25.7	24.7	24.5	25.1	0.0	40.2	35.8	0.3	99.7
16	23931	25.7	24.3	25.4	24.6	0.0	40.2	36.0	0.3	99.7
17	23931	25.9	24.4	24.7	25.0	0.0	40.2	36.9	0.2	99.8
18	23931	26.5	24.5	23.8	25.2	0.0	40.2	36.1	0.2	99.8
19	23931	26.0	24.6	25.3	24.1	0.0	40.2	36.4	0.2	99.8
20	23931	26.5	24.1	24.7	24.7	0.0	40.2	35.6	0.2	99.8
21	23931	25.8	24.2	24.9	25.2	0.0	40.1	36.2	0.2	99.8
22	23931	25.8	24.7	25.2	24.3	0.0	40.1	35.8	0.3	99.7
23	23931	25.8	23.9	24.8	25.4	0.0	40.1	36.7	0.2	99.8
24	23931	25.9	24.7	24.1	25.2	0.0	40.1	35.9	0.2	99.8
25	23931	25.4	24.8	25.6	24.2	0.0	40.1	36.2	0.2	99.8
26	23931	26.0	23.6	25.5	24.9	0.0	40.0	35.7	0.2	99.8
27	23931	25.7	24.6	24.3	25.4	0.0	39.9	34.8	0.3	99.7
28	23931	25.5	24.6	25.5	24.5	0.0	39.9	35.5	0.2	99.8
29	23931	26.2	24.0	24.8	25.0	0.0	39.8	33.7	0.3	99.7
30	23931	25.8	24.5	24.5	25.3	0.0	39.8	34.6	0.3	99.7
31	23931	25.9	24.7	25.0	24.4	0.0	39.8	34.8	0.3	99.7
32	23931	26.1	24.0	25.2	24.6	0.0	39.7	33.8	0.4	99.6
33	23931	25.8	24.8	24.3	25.1	0.0	39.6	34.1	0.3	99.7
34	23931	25.4	24.9	25.2	24.5	0.0	39.5	33.4	0.4	99.6
35	23931	26.3	24.2	25.4	24.1	0.0	39.5	33.7	0.4	99.6
36	23931	25.7	24.5	24.2	25.6	0.0	39.4	33.3	0.3	99.7
37	23931	25.9	24.6	25.2	24.3	0.0	39.4	33.3	0.3	99.7
38	23931	26.3	23.7	25.0	25.0	0.0	39.4	33.4	0.4	99.6
39	23931	26.0	24.4	24.4	25.2	0.0	39.3	33.5	0.4	99.6
40	23931	25.8	24.6	25.1	24.6	0.0	39.3	34.0	0.3	99.7
41	23931	25.7	24.0	25.5	24.8	0.0	39.2	32.9	0.4	99.6
42	23931	25.9	24.5	24.4	25.2	0.0	39.0	32.9	0.4	99.6
43	23931	25.9	24.8	25.1	24.2	0.0	39.1	33.8	0.3	99.7
44	23931	26.1	23.9	24.8	25.2	0.0	39.0	33.8	0.4	99.6
45	23931	26.0	24.4	24.6	25.0	0.0	38.9	33.7	0.3	99.7
46	23931	25.7	25.0	25.3	24.1	0.0	38.8	33.9	0.3	99.7
47	23931	26.1	24.0	25.4	24.5	0.0	38.7	33.2	0.2	99.8
48	23931	25.6	24.3	25.0	25.1	0.0	38.6	33.4	0.3	99.7
49	23931	25.6	24.6	25.2	24.5	0.0	38.5	33.2	0.3	99.7
50	23931	26.3	23.9	25.1	24.6	0.0	38.4	33.0	0.3	99.7
51	23931	25.4	25.3	24.5	24.7	0.0	38.3	32.2	0.4	99.6
52	23931	26.1	24.0	25.6	24.2	0.0	38.1	32.9	0.4	99.6
53	23931	26.2	24.4	24.6	24.8	0.0	38.0	32.6	0.3	99.7
54	23931	25.8	24.3	24.7	25.3	0.0	37.9	32.8	0.4	99.6
55	23931	25.4	24.4	26.1	24.1	0.0	37.8	32.6	0.3	99.7
56	23931	26.0	23.8	25.3	24.9	0.0	37.6	32.2	0.4	99.6
57	23931	25.9	24.6	24.5	25.0	0.0	37.5	32.2	0.4	99.6
58	23931	25.2	25.4	25.3	24.1	0.0	37.3	31.7	0.4	99.6
59	23931	26.4	24.0	25.1	24.5	0.0	37.2	31.6	0.5	99.5
60	23931	25.6	24.8	24.7	24.9	0.0	37.1	30.8	0.5	99.5
61	23929	25.1	24.8	25.8	24.3	0.0	36.9	30.4	0.5	99.5
62	23921	26.4	23.8	25.3	24.5	0.0	36.8	30.2	0.5	99.5
63	23921	25.6	24.8	24.5	25.1	0.0	36.7	30.4	0.5	99.5
64	23914	25.9	24.4	25.4	24.3	0.0	36.5	30.2	0.5	99.5
65	23914	26.2	24.1	24.7	24.9	0.0	36.4	29.6	0.5	99.5
66	23902	26.0	24.2	24.9	24.9	0.0	36.2	30.3	0.6	99.4
67	23902	25.7	24.6	25.2	24.6	0.0	36.1	29.1	0.6	99.4
68	23889	26.0	24.1	25.2	24.6	0.0	36.0	29.8	0.6	99.4
69	23889	26.0	24.4	24.7	24.9	0.0	35.9	29.9	0.6	99.4
70	23878	25.9	24.4	25.4	24.3	0.0	35.7	28.8	0.8	99.2
71	23878	26.7	23.9	24.7	24.8	0.0	35.6	29.5	0.6	99.4
72	23868	25.6	24.4	24.9	25.1	0.0	35.5	29.4	0.7	99.3
73	23867	25.4	24.7	25.6	24.3	0.0	35.4	29.6	0.7	99.3
74	23855	25.7	24.0	25.9	24.5	0.0	35.3	29.8	0.6	99.4
75	23854	25.5	25.0	24.4	25.1	0.0	35.2	29.2	0.7	99.3
76	23837	25.4	24.6	25.4	24.6	0.0	34.9	30.0	0.6	99.4
77	23836	26.3	23.7	25.3	24.6	0.0	35.0	29.6	0.6	99.4
78	23827	25.8	24.4	24.8	25.0	0.0	35.0	29.5	0.7	99.3
79	23826	25.2	25.0	25.6	24.2	0.0	34.9	28.6	0.7	99.3
80	23813	26.4	24.0	25.0	24.7	0.0	34.8	28.6	0.8	99.2
